DATE,UBIT,DURATION,ACTIVITY & TOOL DESCRIPTION
2/8/22,anitachu,30 minutes,created main.c for starter code in emacs
2/11/22,anitachu,10 minutes,edited main.c for the -r function to get characters in emacs
2/11/22,anitachu,10 minutes,edited main.c for the -r function to have a if condition for the header in emacs
2/14/22,anitachu,20 minutes,edited main.c to count the number of row for the -r function in emacs
2/14/22,anitachu,1 hour,edited main.c to count the number of rows and printed it for the -r function in emacs
